activity_id,activity_date,distance_km,moving_time_sec,moving_time_min,pace_min_km,speed_kmh,elevation_gain_m,year,month,year_month,day_name
48,2026-01-19,6.0072,2581,43.016666666666666,7.16085142273716,8.3772,18.0,2026,1,2026-01,Monday
49,2026-01-20,12.1071,5269,87.81666666666666,7.253319677434452,8.2728,49.0,2026,1,2026-01,Tuesday
50,2026-01-21,7.031899999999999,2807,46.78333333333333,6.653014595391478,9.018,6.2,2026,1,2026-01,Wednesday
51,2026-01-24,11.0082,4633,77.21666666666667,7.014468002640456,8.5536,31.4,2026,1,2026-01,Saturday
52,2026-01-25,20.0045,7166,119.43333333333334,5.970323343914286,10.0512,90.2,2026,1,2026-01,Sunday
53,2026-01-29,5.504899999999999,2270,37.833333333333336,6.872664959097048,8.73,7.0,2026,1,2026-01,Thursday
54,2026-01-30,12.0122,5199,86.65,7.213499608731124,8.316,55.6,2026,1,2026-01,Friday
55,2026-02-01,16.0049,7133,118.88333333333334,7.427933528690173,8.0784,71.4,2026,2,2026-02,Sunday
56,2026-02-01,1.2995,713,11.883333333333333,9.144542772861357,6.5628,10.4,2026,2,2026-02,Sunday
57,2026-02-03,6.0443,2454,40.9,6.766705822014129,8.866800000000001,,2026,2,2026-02,Tuesday
58,2026-02-04,5.3195,1807,30.116666666666667,5.6615596703950875,10.5984,0.0,2026,2,2026-02,Wednesday
59,2026-02-06,9.995299999999999,4245,70.75,7.078326813602394,8.478,0.0,2026,2,2026-02,Friday
60,2026-02-06,0.45330000000000004,259,4.316666666666666,9.522759026399,6.3,0.0,2026,2,2026-02,Friday
61,2026-02-07,9.9988,4427,73.78333333333333,7.379218839594085,8.1324,2.2,2026,2,2026-02,Saturday
62,2026-02-08,20.0273,8502,141.7,7.075342157954392,8.4816,7.3,2026,2,2026-02,Sunday
63,2026-02-10,3.031,900,15.0,4.948861761794787,12.1248,116.0,2026,2,2026-02,Tuesday
64,2026-02-10,1.0074,564,9.4,9.330950962874727,6.429600000000001,0.0,2026,2,2026-02,Tuesday
65,2026-02-11,11.000399999999999,4128,68.8,6.254318024799098,9.594000000000001,2.5,2026,2,2026-02,Wednesday
66,2026-02-13,4.7615,1808,30.133333333333333,6.328537925723687,9.4824,2.0,2026,2,2026-02,Friday
67,2026-02-14,15.056299999999998,6315,105.25,6.990429255527587,8.5824,11.5,2026,2,2026-02,Saturday
68,2026-02-16,14.4759,5671,94.51666666666667,6.529242856517845,9.1908,8.3,2026,2,2026-02,Monday
69,2026-02-18,8.8894,3604,60.06666666666667,6.7571114660907,8.8812,4.1,2026,2,2026-02,Wednesday
70,2026-02-19,6.469,3008,50.13333333333333,7.749781006853197,7.7436,19.6,2026,2,2026-02,Thursday
71,2026-02-26,7.9256,3187,53.11666666666667,6.701911106624945,8.9532,0.0,2026,2,2026-02,Thursday
72,2026-02-27,4.9616999999999996,1655,27.583333333333332,5.5592505256934786,10.792800000000002,0.0,2026,2,2026-02,Friday
73,2026-02-28,10.0519,3956,65.93333333333334,6.559290615041269,9.1476,0.0,2026,2,2026-02,Saturday
74,2026-03-01,9.9595,4382,73.03333333333333,7.333032113392573,8.1828,0.0,2026,3,2026-03,Sunday
75,2026-03-02,4.992,2352,39.2,7.852564102564103,7.6392,0.0,2026,3,2026-03,Monday
76,2026-03-03,9.8856,4164,69.4,7.020312373553452,8.5464,0.0,2026,3,2026-03,Tuesday
77,2026-03-05,9.950299999999999,4647,77.45,7.783684914022694,7.7076,0.0,2026,3,2026-03,Thursday
78,2026-03-06,9.867299999999998,3788,63.13333333333333,6.398237950942339,9.378,0.0,2026,3,2026-03,Friday
79,2026-03-07,10.032200000000001,4653,77.55,7.730109048862661,7.7616000000000005,0.0,2026,3,2026-03,Saturday
80,2026-03-08,12.010399999999999,4837,80.61666666666666,6.712238282377495,8.9388,0.0,2026,3,2026-03,Sunday
81,2026-03-10,10.042399999999999,4427,73.78333333333333,7.347181284686264,8.1648,0.0,2026,3,2026-03,Tuesday
82,2026-03-11,5.0512,2469,41.15,8.146579030725372,7.3656,0.0,2026,3,2026-03,Wednesday
83,2026-03-12,9.9635,3293,54.88333333333333,5.5084391361803915,10.8936,0.0,2026,3,2026-03,Thursday
84,2026-03-13,5.099399999999999,2520,42.0,8.236263089775269,7.2864,0.0,2026,3,2026-03,Friday
85,2026-03-14,7.4917,2949,49.15,6.560593723720918,9.144,0.0,2026,3,2026-03,Saturday
86,2026-03-15,5.0125,2158,35.96666666666667,7.175394846217789,8.3628,36.8,2026,3,2026-03,Sunday
87,2026-03-15,0.6536000000000001,243,4.05,6.196450428396572,9.684,0.0,2026,3,2026-03,Sunday
88,2026-03-17,2.4,1200,20.0,8.333333333333334,7.2,,2026,3,2026-03,Tuesday
89,2026-04-06,6.008100000000001,2997,49.95,8.313776401857492,7.218,0.0,2026,4,2026-04,Monday
90,2026-04-08,10.764299999999999,5402,90.03333333333333,8.364067643351945,7.1748,0.0,2026,4,2026-04,Wednesday
91,2026-04-11,12.1,4579,76.31666666666666,6.307162534435261,9.5112,,2026,4,2026-04,Saturday
92,2026-04-11,11.9728,4578,76.3,6.372778297474275,9.414000000000001,0.0,2026,4,2026-04,Saturday
93,2026-04-12,10.0049,4746,79.1,7.906125998260852,7.588800000000001,0.0,2026,4,2026-04,Sunday
94,2026-04-14,9.9984,4720,78.66666666666667,7.867925534752227,7.6248,0.0,2026,4,2026-04,Tuesday
95,2026-04-17,7.092,2624,43.733333333333334,6.166572664034593,9.7308,0.0,2026,4,2026-04,Friday
96,2026-04-17,1.9808,1263,21.05,10.627019386106625,5.6448,0.0,2026,4,2026-04,Friday
97,2026-04-19,10.035200000000001,4835,80.58333333333333,8.030067495748298,7.4736,0.0,2026,4,2026-04,Sunday
98,2026-04-22,10.164399999999999,4681,78.01666666666667,7.675481746750096,7.8156,0.0,2026,4,2026-04,Wednesday
99,2026-04-27,9.9426,4253,70.88333333333334,7.129255258517222,8.4168,0.0,2026,4,2026-04,Monday
100,2026-04-29,15.052700000000002,6894,114.9,7.6331820869345695,7.8588,0.0,2026,4,2026-04,Wednesday
101,2026-05-02,10.0557,4754,79.23333333333333,7.8794448256544385,7.614000000000001,0.0,2026,5,2026-05,Saturday
102,2026-05-02,10.004,4761,79.35,7.931827269092363,7.5636,0.0,2026,5,2026-05,Saturday
103,2026-05-03,10.084700000000002,4760,79.33333333333333,7.8667023643076455,7.628400000000001,,2026,5,2026-05,Sunday
104,2026-05-05,12.8934,5737,95.61666666666666,7.415938904142171,8.0892,0.0,2026,5,2026-05,Tuesday
105,2026-05-06,6.9012,3917,65.28333333333333,9.459707490484746,6.3432,0.0,2026,5,2026-05,Wednesday
106,2026-05-07,9.9815,4067,67.78333333333333,6.790896491843243,8.8344,0.0,2026,5,2026-05,Thursday
107,2026-05-08,12.0045,5666,94.43333333333334,7.8664945090035685,7.628400000000001,0.0,2026,5,2026-05,Friday
108,2026-05-09,9.991100000000001,4560,76.0,7.606770025322536,7.8876,0.0,2026,5,2026-05,Saturday
109,2026-05-16,4.34,2002,33.36666666666667,7.688172043010753,7.804800000000001,0.0,2026,5,2026-05,Saturday
110,2026-05-16,5.0967,2007,33.45,6.563070221908294,9.140400000000001,29.5,2026,5,2026-05,Saturday
111,2026-05-16,5.0,1960,32.666666666666664,6.533333333333333,9.1836,,2026,5,2026-05,Saturday
112,2026-06-13,10.016200000000001,4904,81.73333333333333,8.16011394873638,7.3511999999999995,0.0,2026,6,2026-06,Saturday
113,2026-06-18,10.021600000000001,4708,78.46666666666667,7.829754397168782,7.6644000000000005,0.0,2026,6,2026-06,Thursday
114,2026-06-20,10.0758,3860,64.33333333333333,6.384935522075997,9.395999999999999,0.0,2026,6,2026-06,Saturday
115,2026-06-27,10.0359,4621,77.01666666666667,7.674116588115333,7.8192,0.0,2026,6,2026-06,Saturday
116,2026-06-27,0.743,335,5.583333333333333,7.514580529385374,7.9848,0.0,2026,6,2026-06,Saturday
117,2026-06-29,10.014,4383,73.05,7.294787297783103,8.226,0.0,2026,6,2026-06,Monday
118,2026-06-30,9.993,4501,75.01666666666667,7.506921511724873,7.992000000000001,0.0,2026,6,2026-06,Tuesday
119,2026-07-01,12.0012,5563,92.71666666666667,7.725616327256163,7.7652,0.0,2026,7,2026-07,Wednesday
120,2026-07-03,14.9779,6671,111.18333333333334,7.423159009830039,8.082,0.0,2026,7,2026-07,Friday
121,2026-07-10,10.0095,4343,72.38333333333334,7.231463443062426,8.298,0.0,2026,7,2026-07,Friday
122,2026-07-17,10.023299999999999,4279,71.31666666666666,7.115088510437348,8.4312,0.0,2026,7,2026-07,Friday
123,2026-07-18,10.000399999999999,4397,73.28333333333333,7.328040211724865,8.1864,0.0,2026,7,2026-07,Saturday
124,2026-07-19,9.9903,3896,64.93333333333334,6.499637982176044,9.230400000000001,0.0,2026,7,2026-07,Sunday
125,2026-07-21,10.0715,4238,70.63333333333334,7.013189031756276,8.5536,0.0,2026,7,2026-07,Tuesday
126,2026-07-22,10.0765,4212,70.2,6.966704708976332,8.6112,0.0,2026,7,2026-07,Wednesday
