month_label,total_distance_km,total_runs,average_distance_km,weighted_pace_min_km
2025-11,87.0878,13,6.699061538461539,6.767882527747859
2025-12,140.9297,19,7.4173526315789475,7.042991411084156
2026-01,209.1924,22,9.508745454545455,7.084148372503017
2026-02,156.773,19,8.25121052631579,6.839613113652649
2026-03,112.41159999999999,15,7.494106666666666,7.128860959782324
2026-04,115.11619999999999,12,9.593016666666665,7.466658327266999
2026-05,96.3528,11,8.759345454545455,7.643957068882966
2026-06,60.8995,7,8.699928571428572,7.474609807962298
2026-07,87.1506,8,10.893825,7.190426686678004
